OBJECTID	FLATE_NR	X	Y	LAT	LONG
30	405	-17999.9889916097	6533999.99672422	6.0613992686	58.6348195939
60	513	0.0170499898	6678000.00101123	6.0353856705	59.933841979
94	622	18000.021097325	6840000.00444369	5.9562708016	61.3924567175
127	801	54000.344082012	6462000.00425583	7.4293237798	58.0738717268
177	922	72000.0088486597	6840000.00317242	6.9569761334	61.4557035631
240	1131	108000.000654324	7001999.99956319	7.2642688491	62.9353335093
271	1304	143999.997626306	6515999.99573148	8.8624847544	58.637552716
289	1322	143999.978031611	6840000.16695537	8.2979966791	61.5285940724
377	1623	198000.003634151	6857999.99781989	9.2784052936	61.7353895646
485	2015	269999.951234996	6714000.03418261	10.8117102052	60.4962440553
509	2108	288000.297326263	6588000.72065429	11.2678307203	59.3772095886
573	2238	305999.996164394	7127999.99685885	10.9997465995	64.2233057521
599	2332	324000.000583091	7019999.99896337	11.4921431512	63.2656356049
621	2425	342000.657680317	6894000.14721609	11.9682535057	62.1447270082
720	2948	432000	7308000	13.508308416	65.8858977136
726	2962	432000	7560000	13.3629399785	68.1456064076
868	4268	666000	7668000	19.1669053914	69.0717156123
973	5369	863999.980701578	7685999.9993391	24.1467437685	69.0397579455
1064	6380	1043999.1843544	7884000.0191548	29.7028097506	70.4653978699
1067	6473	1061998.99429524	7757999.82000395	29.3824201554	69.3336498601
